sentence_a,sentence_b,category
我 觉得 这种 数据 增强 方法 很 好用,提拔 大家 都来 试一试,1
我 觉得 这种 数据 增强 方法 很 好用,大家 都来 试一试,1
我 觉得 这种 数据 增强 方法 很 好用,推荐 大家 来向 都来 试一试,1
我 觉得 这种 数据 增强 想到 方法 很 好用,试一试 大家 都来 推荐,1
我 觉得 这种 数据 大幅提高 方法 很 好用,推荐 举荐 大家 都来 试一试,1
我 觉得 这种 数据 增强 法则 很 好用,推荐 大家 都来 试一试,1
我 觉得 这种 数据 增强 方法 信息 很 好用,推荐 大家 试一试 都来,1
我 觉得 这种 方法 增强 数据 很 好用,推荐 试一试 都来 大家,1
数据 觉得 这种 我 增强 方法 很 好用,推荐 大家 ；也 试一试,1
我 觉得 这种 数据 增强 方法 很 好用,推荐 大家 都来 试一试,1
方法 觉得 这种 我 并 不 适合 用于 文本 分类,还是 自己 多 标注 一些 数据 吧,0
我 觉得 这种 方法 并 不 适合 文本 分类,还是 自己 多 标注 一些 数据资料 吧,0
我 看来 这种 方法 并 不 适合 用于 文本 分类,还是 自己 多 注明 一些 数据 吧,0
我 觉得 这种 方法 并 不 适合 用于 分类,自己 还是 多 标注 一些 数据 吧,0
我 觉得 这种 简单 方法 并 不 适合 用于 文本 分类,还是 自己 多 信息 标注 一些 数据 吧,0
我 觉得 这种 方法 想到 并 不 适合 用于 文本 分类,还是 吧 多 标注 一些 数据 自己,0
我 觉得 这种 文本 并 不 适合 用于 方法 分类,还是 自己 吧 标注 一些 数据 多,0
我 看来 这种 方法 并 不 适合 用于 文本 分类,标有 还是 自己 多 标注 一些 数据 吧,0
我 觉得 这种 方法 并 不 分类 用于 文本 适合,还是 自己 多 标明 一些 数据 吧,0
我 觉得 这种 方法 并 不 适合 用于 文本 分类,还是 自己 多 标注 一些 数据 吧,0
